SAMN00015372 MT0036
SAMN00015371 MT0034
SAMN00015370 MT0033
SAMN00015369 MT0032
SAMN00015365 MT0031
SAMN00015364 MT0030
SAMN00015363 MT0029
SAMN00015362 MT0028
SAMN00015361 MT0027
SAMN00015350 MT0026
SAMN00015349 MT0025
SAMN00015348 MT0024
SAMN00015347 MT0023
SAMN00015346 MT0022
SAMN00015345 MT0021
SAMN00015344 MT0020
SAMN00015343 MT0019
SAMN00015341 MT0018
SAMN00015286 MT0017
SAMN00015230 MT0035
SAMN00015229 MT0016
SAMN00015209 MT0015
SAMN00015208 MT0014
SAMN00015206 MT0013
SAMN00015182 MT0012
SAMN00015181 MT0011
SAMN00015180 MT0010
SAMN00015179 MT0009
SAMN00015178 MT0008
SAMN00015177 MT0007
SAMN00015176 MT0006
SAMN00015145 MT0005
SAMN00015144 MT0004
SAMN00015142 MT0003
SAMN00014847 MT0002
SAMN00014678 MT0001
SAMN00763683 KZN MDR
SAMN00103288 KZN XDR
SAMN00103286 F11
SAMN00103242 T83
SAMN00103241 5444_04
SAMN00103240 11821_03
SAMN00103239 4783_04
SAMN00103238 GM_0981
SAMN00103237 95_0545
SAMN00103236 91_0079
SAMN00103235 M4100A
SAMN00103234 98_1833
SAMN00103233 K100
SAMN00103232 00_1695
SAMN00103231 T67
SAMN00103054 T17
SAMN00102923 T85
SAMN00102922 T92
SAMN00013322 GM_1503
SAMN00013307 Haarlem
SAMN00013306 Haarlem
SAMN00013305 Haarlem
SAMN00013075 SG1
SAMN00013074 4141_04
SAMN04009436 R451
SAMN04009435 R439
SAMN04009434 R431
SAMN04009433 M95
SAMN04009432 M73
SAMN04009431 M6
SAMN04009430 M32
SAMN04009429 M230
SAMN04009428 M224
SAMN04009427 M213
SAMN04009426 M200
SAMN02146862 P7_ITL
SAMN00854528 CDC_606
SAMN00854527 H37Rv
SAMN00013325 CDC_602
SAMN00013195 CDC_603
SAMN00013194 CDC_608
SAMN00013193 CDC_606
SAMN00013190 CDC_604
SAMN00013188 03R1382
SAMN00013187 03R0985
SAMN00013186 03R0268
SAMN00013185 03R0483
SAMN00013184 03R0888
SAMN00013183 01R0450
SAMN00013182 04R0292
SAMN00013181 01R0817
SAMN00013177 P5_ITL
SAMN00013176 P10_ITL
SAMN00013175 P2_ITL
SAMN00013174 P8_ITL
SAMN00013173 P3_ITL
SAMN00013145 CDC_607
SAMN00013144 CDC_605
SAMN00013142 M41
SAMN00013139 01R0572
SAMN00013138 03R1082
SAMN00013137 02R1848
SAMN00013136 03R0303
SAMN00013133 CDC_609
SAMN00013132 P6_ITL
SAMN00013131 P1_ITL
SAMN00013130 R179
SAMN00013127 P4_ITL
SAMN02595346 W-148
SAMN00102920 K116
SAMN00102902 K21
SAMN00102901 K37
SAMN00102900 K93
SAMN00102899 K67
SAMN00102898 K49
SAMN02595232 98-r604
SAMN02595209 C
