Organism_name	Isoniazid	Rifampicin	Ethambutol	Pyrazinamide	Streptomycin	Ciprofloxacin	Moxifloxacin	Ofloxacin	Amikacin	Capreomycin	Kanamycin	Prothionamide	Ethionamide	URL
SAMEA961610	S	S	S	S	No result	No result	No result	No result	No result	No result	No result	No result	No result	http://www.thelancet.com/journals/laninf/article/PIIS1473-3099(15)00062-6/abstract
SAMEA961608	S	S	S	S	No result	No result	No result	No result	No result	No result	No result	No result	No result	http://www.thelancet.com/journals/laninf/article/PIIS1473-3099(15)00062-6/abstract
SAMEA961609	S	S	S	S	No result	No result	No result	No result	No result	No result	No result	No result	No result	http://www.thelancet.com/journals/laninf/article/PIIS1473-3099(15)00062-6/abstract
SAMEA961584	S	S	S	S	No result	No result	No result	No result	No result	No result	No result	No result	No result	http://www.thelancet.com/journals/laninf/article/PIIS1473-3099(15)00062-6/abstract
SAMEA961583	S	S	S	S	No result	No result	No result	No result	No result	No result	No result	No result	No result	http://www.thelancet.com/journals/laninf/article/PIIS1473-3099(15)00062-6/abstract
SAMEA961582	S	S	S	S	No result	No result	No result	No result	No result	No result	No result	No result	No result	http://www.thelancet.com/journals/laninf/article/PIIS1473-3099(15)00062-6/abstract
SAMEA961581	S	S	S	S	No result	No result	No result	No result	No result	No result	No result	No result	No result	http://www.thelancet.com/journals/laninf/article/PIIS1473-3099(15)00062-6/abstract
SAMEA961587	S	S	S	S	No result	No result	No result	No result	No result	No result	No result	No result	No result	http://www.thelancet.com/journals/laninf/article/PIIS1473-3099(15)00062-6/abstract
SAMEA961586	S	S	S	S	No result	No result	No result	No result	No result	No result	No result	No result	No result	http://www.thelancet.com/journals/laninf/article/PIIS1473-3099(15)00062-6/abstract
SAMEA961585	S	S	S	S	S	S	No result	No result	No result	No result	No result	No result	No result	http://www.thelancet.com/journals/laninf/article/PIIS1473-3099(15)00062-6/abstract
SAMEA961579	S	S	S	S	No result	No result	No result	No result	No result	No result	No result	No result	No result	http://www.thelancet.com/journals/laninf/article/PIIS1473-3099(15)00062-6/abstract
SAMEA961640	S	S	S	S	No result	No result	No result	No result	No result	No result	No result	No result	No result	http://www.thelancet.com/journals/laninf/article/PIIS1473-3099(15)00062-6/abstract
SAMEA961641	S	S	S	S	No result	No result	No result	No result	No result	No result	No result	No result	No result	http://www.thelancet.com/journals/laninf/article/PIIS1473-3099(15)00062-6/abstract
SAMEA961668	S	S	S	S	S	S	No result	No result	S	S	No result	No result	No result	http://www.thelancet.com/journals/laninf/article/PIIS1473-3099(15)00062-6/abstract
